Kategorie;Wärmeleitfähigkeit relevant;Bemessungswert der Wärmeleitfähigkeit [W/(m*K)];Kommentar/Quelle
Mineralische Baustoffe / Steine und Elemente / Glasbausteine;x;1,2;DIN EN ISO 10456:2010-05 Tabelle 3
Mineralische Baustoffe / Steine und Elemente / Kalksandstein;x;1,038;DIN 4108
Mineralische Baustoffe / Steine und Elemente / Kunststein;x;1,4;DIN EN ISO 10456:2010-05 Tabelle 3
Mineralische Baustoffe / Steine und Elemente / Lehmsteine;x;0,475;DIN 4108
Mineralische Baustoffe / Steine und Elemente / Leichtbeton;x;0,761;DIN 4108
Mineralische Baustoffe / Steine und Elemente / Naturwerkstein;x;2,106;DIN EN ISO 10456:2010-05 Tabelle 3
Mineralische Baustoffe / Steine und Elemente / Porenbeton;x;0,557;DIN 4108
Mineralische Baustoffe / Steine und Elemente / Schiefer;x;2,2;DIN EN ISO 10456:2010-05 Tabelle 3
Mineralische Baustoffe / Steine und Elemente / Substrate;x;0,307;DIN 4108
Mineralische Baustoffe / Steine und Elemente / Trockenestrich;x;1,021;DIN 4108
Mineralische Baustoffe / Steine und Elemente / Ziegel;x;0,641;DIN 4108
Mineralische Baustoffe / Zuschläge / Bims;x;0,13;DIN 4108
Mineralische Baustoffe / Zuschläge / Blähglas;x;0,048;DIN 4108
Mineralische Baustoffe / Zuschläge / Blähschiefer;x;0,16;DIN 4108
Mineralische Baustoffe / Zuschläge / Blähton;x;0,059;DIN 4108
Mineralische Baustoffe / Zuschläge / Naturstein;x;2,106;DIN EN ISO 10456:2010-05 Tabelle 3
Mineralische Baustoffe / Zuschläge / Perlite;x;0,059;DIN 4108
Mineralische Baustoffe / Zuschläge / Sand und Kies;x;0,7;DIN 4108
Mineralische Baustoffe / Zuschläge / Trockenschüttung;x;0,076;cemwood: zwischen 0,7 und 0,085
