UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg; A1-A3 existing; C3 existing; C4 existing; D existing;life span;
f168113d-f78a-4bb2-bfcd-07c3daac8014;00.01.008;Floatglas - Guardian Europe S.à r.l. - Mirror / Ultra Mirror;Komponenten von Fenstern und Vorhangfassaden / Füllungen / Opake Füllungen;specific dataset;1;m3;b40f1b65-49b9-4c12-85fa-11cfbe9daf3e;Floatglas - Guardian Europe S.à r.l. - Mirror / Ultra Mirror;;;;0,000051;;;;true;false;false;false;30;
40902922-944b-4126-a6d0-49982eb2361e;00.01.008;Floatglas - Guardian Europe S.à r.l. - SatinDeco;Komponenten von Fenstern und Vorhangfassaden / Füllungen / Opake Füllungen;specific dataset;1;m3;9f5d7c97-b538-4092-bbf4-f81be3e98bf8;Floatglas - Guardian Europe S.à r.l. - SatinDeco;;;;0,004;;;;true;false;false;false;30;
9498de37-a640-4715-aaeb-07fe2631dad4;00.01.009;Floatglas - Guardian Europe S.à r.l. - Wet coating for painted glass;Komponenten von Fenstern und Vorhangfassaden / Füllungen / Opake Füllungen;specific dataset;1;m3;dfdc6da3-56d8-45f5-a72d-400fc2a0c303;Floatglas - Guardian Europe S.à r.l. - Wet coating for painted glass;;;;0,000045;;;;true;false;false;false;30;
14cac35f-a23d-44cd-a1f3-d86bc1d806d5;00.00.005;Tür - HT Laborẋ⦊횥뗧↞ GmbH - Schiebetür;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;specific dataset;1;m3;bc0c1d14-fe86-4924-82e3-f74ed9ad4860;Tür - HT Laborẋ⦊횥뗧↞ GmbH - Schiebetür;;117;29,25;0,04;;;;true;true;true;true;20;aus EPD
3e844136-06e8-4e9f-ba0c-7fc4ec7ee901;00.05.008;Trockenschüttung - Cemwood GmbH - Ausgleichschüttung;Mineralische Baustoffe / Zuschläge / Trockenschüttung;specific dataset;1;m3;b7032256-efe1-4ffe-b462-e49c43983ab9;Trockenschüttung - Cemwood GmbH - Ausgleichschüttung;;;320;;;;;true;true;true;true;40;Annahme: wie Holzfaserdämmung
e0ddceb1-806c-425b-b8fc-62a62bc5bc17;00.00.005;Tür - HT Laborẋ⦊횥뗧↞ GmbH - Drehtür;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;specific dataset;1;m3;5340af82-c0af-44d1-b609-99f27dfc1f3d;Tür - HT Laborẋ⦊횥뗧↞ GmbH - Drehtür;;101;25,25;0,04;;;;true;true;true;true;20;aus EPD
1d8ac430-ac11-4bc9-b302-e2278a9ef6f0;00.01.000;Holzfaserdämmstoffe im Trockenverfahren 110-200 kg/m³;Dämmstoffe / Holzfasern / Holzfaserdämmplatte;specific dataset;1;m3;fbe3a36a-0a2c-d728-54c6-b45e5e00dc99;Weichfaserplatte 200 kg/m³, pro m³;;;200;;;;0,005;true;true;true;true;40;
c83d501f-d07f-4434-9d5c-862a7e8a3026;00.01.000;Aluminiumprofil beschichtet;Metalle / Aluminium / Aluminiumprofil;average dataset;1;m3;7c0c3025-2dab-ff28-9374-e6a63c971550;Aluminiumprofil pulverbeschichtet;;;2700;;;;;true;true;false;true;50;wie Fensterrahmen Alu
c23b2987-776d-4d55-91c7-5f2a0f2c50f1;00.01.000;Aluminiumprofil anodisiert;Metalle / Aluminium / Aluminiumprofil;average dataset;1;m3;a4b1c6f9-b589-384d-8dc4-dc53ebacb559;Aluminiumprofil eloxiert;;;2700;;;;;true;true;false;true;50;wie Fensterrahmen Alu
10d750fe-bfb7-46fc-9a4a-a9b968fe1f4e;00.01.000;Aluminiumprofil pressblank;Metalle / Aluminium / Aluminiumprofil;average dataset;1;m3;4f403f09-b064-cfcf-e1fc-069ed85d4714;Aluminiumprofil pressblank;;;2700;;;;;true;true;false;true;50;wie Fensterrahmen Alu
d3dbba95-2921-4fa5-9b20-32f37c6c0793;00.01.000;binderholz Brettschichtholz BSH;Holz / Vollholz / Brettschichtholz (BSH);specific dataset;1;m3;47247009-ee61-4ab8-a912-dba5eb366468;1 m³ binderholz Brettschichtholz BSH;;;459,2;;;;0,0021777;true;true;false;true;100;Hartholz, bekleidet
afef8f9a-e598-41b8-8e90-33e7352c25a8;00.01.000;CLIMAFLEX® SPIRAL made of NMC NATUREFOAM®;Dämmstoffe / Polyethylen / Schaum;average dataset;1;m3;588bc1e0-9d15-48dc-03c0-2814249458c4;CLIMAFLEX®SPIRAL made of NMC NATUREFOAM®;;;30;;;;;true;false;true;true;40;wie PE-Schaum
ab6a665e-1846-4ef0-88a8-8f4b2924f56a;00.02.000;CLIMAFLEX® aus NMC NATUREFOAM®;Dämmstoffe / Polyethylen / Schaum;average dataset;1;m3;c70cf5d7-28f9-3673-c385-4f88a144831f;CLIMAFLEX® /M3;;;28;;;;;true;true;true;true;40;wie PE-Schaum
a564fa56-4723-4123-bbbd-2a8780c8c899;00.03.000;CLIMAFLEX® STABIL / EXENTROFLEX® COMPACT aus NMC NATUREFOAM®;Dämmstoffe / Polyethylen / Schaum;average dataset;1;m3;bf874af3-1581-5f27-8651-6af6d424608f;CLIMAFLEX® STABIL / EXZENTROFLEX® COMPACT aus NMC NATUREFOAM®/M³;;;30,8;;;;;true;true;true;true;40;wie PE-Schaum
cd8eedda-6de4-4249-9c1f-55f88231fe9c;00.01.000;STEICO LVL;Holz / Holzwerkstoffe / Laminated Veneer Lumber (LVL);specific dataset;1;m3;52fc41b9-4c1e-9317-b21c-e88024299162;1 m³ STEICO LVL;;;550;;;;0,00181;true;true;false;true;100;Hartholz, bekleidet
