UUID;Version;Name;Kategorie;Konformität;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Modul;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET
8d5d0806-ca51-4087-8ef6-63ade37ffe6c;20.19.120;Rasterleuchte Deckenintegriert 3x T5-14W (LFL);'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';'DIN EN 15804';generic dataset;1;pcs.;bd95c31a-437a-4e41-9214-1b9491283bb3;Rasterleuchte Deckenintegriert 3 X T5 14 W;;;;;;;;D;-15,2342;-5,29806E-15;-0,00357835;-0,0440369;-0,00331216;-9,96392E-07;-148,322;-38,0388;0;-38,0388;-171,992;0;-171,992;0;0;0;-0,0909126;7,62777E-08;-2,32261;-0,00933973;0;0;0;0;0
8cfea619-e284-4b6f-a281-46e362a868c4;20.19.120;Photovoltaiksystem 1000 kWh/m²*a (ohne Stromgutschrift);'Sonstige' / 'Energieträger - Bereitstellung frei Verbraucher' / 'Strom';'DIN EN 15804';generic dataset;1;qm;860e94ae-a1de-476b-b3c5-784809f525f7;Photovoltaiksystem;;;;;;;;A1-A3;296,686;2,19646E-09;0,103487;1,10572;0,0860934;0,012604;3419,11;993,501;0;993,501;3912,58;0;3912,58;0;0;0;2,28787;3,52012E-05;22,8539;0,195167;0;0;0;0;0
8cfea619-e284-4b6f-a281-46e362a868c4;20.19.120;Photovoltaiksystem 1000 kWh/m²*a (ohne Stromgutschrift);'Sonstige' / 'Energieträger - Bereitstellung frei Verbraucher' / 'Strom';'DIN EN 15804';generic dataset;1;qm;860e94ae-a1de-476b-b3c5-784809f525f7;Photovoltaiksystem;;;;;;;;B6;0;0;0;0;0;0;0;79200;0;79200;0;0;0;0;0;0;0;0;0;0;0;0;0;7973,62;0
8cfea619-e284-4b6f-a281-46e362a868c4;20.19.120;Photovoltaiksystem 1000 kWh/m²*a (ohne Stromgutschrift);'Sonstige' / 'Energieträger - Bereitstellung frei Verbraucher' / 'Strom';'DIN EN 15804';generic dataset;1;qm;860e94ae-a1de-476b-b3c5-784809f525f7;Photovoltaiksystem;;;;;;;;C3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,73;0;0;0
8cfea619-e284-4b6f-a281-46e362a868c4;20.19.120;Photovoltaiksystem 1000 kWh/m²*a (ohne Stromgutschrift);'Sonstige' / 'Energieträger - Bereitstellung frei Verbraucher' / 'Strom';'DIN EN 15804';generic dataset;1;qm;860e94ae-a1de-476b-b3c5-784809f525f7;Photovoltaiksystem;;;;;;;;C4;12,1364;1,10324E-13;0,00196459;0,0272492;0,00524616;1,18604E-06;66,5234;20,2575;0;20,2575;73,021;0;73,021;0;0;0;0,032663;1,59697E-07;15,9039;0,00257428;0;0;0;10,3851;23,8614
8cfea619-e284-4b6f-a281-46e362a868c4;20.19.120;Photovoltaiksystem 1000 kWh/m²*a (ohne Stromgutschrift);'Sonstige' / 'Energieträger - Bereitstellung frei Verbraucher' / 'Strom';'DIN EN 15804';generic dataset;1;qm;860e94ae-a1de-476b-b3c5-784809f525f7;Photovoltaiksystem;;;;;;;;D;-36,2013;-3,78552E-14;-0,0128413;-0,219178;-0,00873155;-0,00731606;-368,366;-69,3382;0;-69,3382;-401,614;0;-401,614;0;0;0;-0,23661;-4,20655E-07;1,85741;-0,0131115;0;0;0;0;0
8cf90240-cbdd-4415-93a8-9c56da22f111;20.19.120;HPL-Platte;'Kunststoffe' / 'Kunststoffprofile elastisch' / 'Harz-Komposit Fassadenplatten';'DIN EN 15804';generic dataset;1;m3;25c54e4e-f03d-415e-ab8a-8064eeadb2ae;HPL-Platte (m3);;;1400;;;;;A1-A3;-385,54;1,46486E-11;-0,127363;1,99566;0,483648;0,000230809;29561,9;11256,3;0;11256,3;16554;13890,8;30444,8;0;0;0;2,7735;8,38697E-05;9,60806;0,349734;0;0;0;0;0
8cf90240-cbdd-4415-93a8-9c56da22f111;20.19.120;HPL-Platte;'Kunststoffe' / 'Kunststoffprofile elastisch' / 'Harz-Komposit Fassadenplatten';'DIN EN 15804';generic dataset;1;m3;25c54e4e-f03d-415e-ab8a-8064eeadb2ae;HPL-Platte (m3);;;1400;;;;;C1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1540;0;0
8cf90240-cbdd-4415-93a8-9c56da22f111;20.19.120;HPL-Platte;'Kunststoffe' / 'Kunststoffprofile elastisch' / 'Harz-Komposit Fassadenplatten';'DIN EN 15804';generic dataset;1;m3;25c54e4e-f03d-415e-ab8a-8064eeadb2ae;HPL-Platte (m3);;;1400;;;;;C2;3,57416;1,18306E-15;-0,00235957;0,00721942;0,00171626;3,00769E-07;47,9098;2,79664;0;2,79664;48,039;0;48,039;0;0;0;0,00250463;1,79517E-06;0,00843169;5,05752E-05;0;0;0;0;0
8cf90240-cbdd-4415-93a8-9c56da22f111;20.19.120;HPL-Platte;'Kunststoffe' / 'Kunststoffprofile elastisch' / 'Harz-Komposit Fassadenplatten';'DIN EN 15804';generic dataset;1;m3;25c54e4e-f03d-415e-ab8a-8064eeadb2ae;HPL-Platte (m3);;;1400;;;;;C3;1978,67;9,65969E-14;0,000227671;0,00276493;0,000546102;9,03273E-07;23,2193;16,9256;0;16,9256;13920,2;-13890,8;29,4284;0;0;0;0,00916307;1,97908E-08;0,0226491;0,00245987;0;0;0;0;0
8cf90240-cbdd-4415-93a8-9c56da22f111;20.19.120;HPL-Platte;'Kunststoffe' / 'Kunststoffprofile elastisch' / 'Harz-Komposit Fassadenplatten';'DIN EN 15804';generic dataset;1;m3;25c54e4e-f03d-415e-ab8a-8064eeadb2ae;HPL-Platte (m3);;;1400;;;;;D;12,1285;-1,59792E-11;-0,00629581;0,303698;0,114654;-0,000170406;-8777,89;-2892,8;0;-2892,8;-9651,84;0;-9651,84;0;0;0;4,31022;-4,9759E-06;12,0454;-0,346185;0;0;0;2421,95;5418,38
8c53e27f-c583-4e9c-8b97-afa9d154b78d;20.19.120;Nutzung - Gas Niedertemperatur 120-400 kW;'Gebäudetechnik' / 'Nutzung' / 'Nutzung Wärmeerzeuger';'DIN EN 15804';generic dataset;3,599999905;MJ;fe2304b5-b6eb-43a6-a2ad-6343d5600bb6;Thermische Energie (MJ);;;;;;;;B6;0,257553;8,3E-17;1,64674E-05;0,000123868;1,98909E-05;1,58508E-08;4,30955;0,0204056;0;0,0204056;4,31481;0;4,31481;0;0;0;1,77503E-05;1,77962E-09;0,000528108;2,07267E-06;0;0;0;0;0
8c22ee68-34b8-4925-86ee-4ea905d39aba;20.19.120;Leuchtstoffröhre T8-18W;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';'DIN EN 15804';generic dataset;1;pcs.;e346f401-df1c-4755-bc42-437377f1bb56;Leuchtstoffröhre T8/T26 18W;;;;;;;;A1-A3;0,373318;3,09489E-15;0,000112587;0,00161399;0,000162553;8,60704E-06;4,62014;0,866707;0;0,866707;4,41968;0,547338;4,96701;0,00191256;0;0;0,00405474;5,23183E-09;0,0248627;0,000136858;0;0;0;0;0
8c22ee68-34b8-4925-86ee-4ea905d39aba;20.19.120;Leuchtstoffröhre T8-18W;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';'DIN EN 15804';generic dataset;1;pcs.;e346f401-df1c-4755-bc42-437377f1bb56;Leuchtstoffröhre T8/T26 18W;;;;;;;;C2;0,000500024;9,4E-19;-1,06129E-06;2,78234E-06;7,05426E-07;4,85858E-11;0,00673833;0,000523305;0;0,000523305;0,00679871;0;0,00679871;0;0;0;4,08166E-07;2,46411E-10;1,31904E-06;2,38348E-08;0;0;0;0;0
8c22ee68-34b8-4925-86ee-4ea905d39aba;20.19.120;Leuchtstoffröhre T8-18W;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';'DIN EN 15804';generic dataset;1;pcs.;e346f401-df1c-4755-bc42-437377f1bb56;Leuchtstoffröhre T8/T26 18W;;;;;;;;C3;0,00107221;5,96E-18;5,1648E-07;6,81144E-06;7,66361E-07;1,08682E-10;0,0152074;0,00205413;0;0,00205413;0,562988;-0,547338;0,0156505;0;0;0;3,93771E-06;2,38535E-10;0,0786776;1,75482E-07;0;0;0;0;0
8c22ee68-34b8-4925-86ee-4ea905d39aba;20.19.120;Leuchtstoffröhre T8-18W;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';'DIN EN 15804';generic dataset;1;pcs.;e346f401-df1c-4755-bc42-437377f1bb56;Leuchtstoffröhre T8/T26 18W;;;;;;;;C4;0,00324513;-6,2E-18;8,40282E-07;6,91584E-07;3,4718E-06;-5,01764E-11;0,00124925;-0,000990155;0;-0,000990155;0,000829419;0;0,000829419;0;0;0;-2,56898E-07;1,2821E-11;0,00348914;-1,38891E-07;0;0;0;0;0
8c22ee68-34b8-4925-86ee-4ea905d39aba;20.19.120;Leuchtstoffröhre T8-18W;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';'DIN EN 15804';generic dataset;1;pcs.;e346f401-df1c-4755-bc42-437377f1bb56;Leuchtstoffröhre T8/T26 18W;;;;;;;;D;-0,0356752;-1,3573E-16;-7,16154E-06;-0,00011523;-8,25612E-06;-6,62796E-08;-0,381954;-0,152681;0;-0,152681;-0,473285;0;-0,473285;0;0;0;-0,000313462;3,90221E-10;-0,00799816;-3,60389E-05;0;0;0;0;0
8be785fa-5548-4ea5-a2d7-b962675b9eff;20.19.120;Lehmputz;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Putz und Putzmörtel';'DIN EN 15804';generic dataset;1;m3;9057d5dd-4d2d-4da6-8bb6-95834040b6c2;Lehmputz (m³);;;900;;;;;A1-A3;93,1477;6,76925E-12;-0,003333;0,138227;0,0320331;9,3127E-06;907,013;193,885;0;193,885;948,011;0;948,011;0;0;0;0,712368;7,40209E-06;4,55652;0,0162374;0;0;0;0;0
8be785fa-5548-4ea5-a2d7-b962675b9eff;20.19.120;Lehmputz;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Putz und Putzmörtel';'DIN EN 15804';generic dataset;1;m3;9057d5dd-4d2d-4da6-8bb6-95834040b6c2;Lehmputz (m³);;;900;;;;;A5;7,92578;2,29728E-15;6,58721E-05;0,000965392;0,000214324;2,48404E-08;1,74536;0,405678;0;0,405678;1,89385;0;1,89385;0;0;0;0,0192287;1,6879E-09;0,0608907;5,88265E-05;0;0;0;9,96294;23,3096
8be785fa-5548-4ea5-a2d7-b962675b9eff;20.19.120;Lehmputz;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Putz und Putzmörtel';'DIN EN 15804';generic dataset;1;m3;9057d5dd-4d2d-4da6-8bb6-95834040b6c2;Lehmputz (m³);;;900;;;;;C2;2,50656;8,2968E-16;-0,00151686;0,00506297;0,00120361;2,10929E-07;33,5991;1,96128;0;1,96128;33,6897;0;33,6897;0;0;0;0,00175649;1,25895E-06;0,00591313;3,54683E-05;0;0;0;0;0
