Kategorie;KG;Zusatzinfo;Bauweise;Anmerkungen;verwendbar für frühe Planungsphasen
Holz / Vollholz / Brettschichtholzplatte;331B, 341, 351, 361;Platten;Holz, Hybrid, MW, StB, Stahl;;x
Holz / Vollholz / Konstruktionsvollholz;331B, 332, 341, 342, 351, 361;Balken, Stützen, Ständer, Unterkonstruktion;"Holz, Hybrid; MW, StB, Stahl: nur Dach";;x
Komponenten von Fenstern und Vorhangfassaden / Antriebssysteme / elektrisch;334, 344;;;;o
Komponenten von Fenstern und Vorhangfassaden / Antriebssysteme / mechanisch;334, 344;;;;o
Komponenten von Fenstern und Vorhangfassaden / Beschläge / Aluminiumbeschläge;334, 344, 362;Beschlag;;;x
Komponenten von Fenstern und Vorhangfassaden / Beschläge / Befestigungen;334, 344, 362;Befestigung;;;x
Komponenten von Fenstern und Vorhangfassaden / Beschläge / Fenstergriffe;334, 344, 362;Griff;;;x
Komponenten von Fenstern und Vorhangfassaden / Beschläge / Stahlbeschläge;334, 344, 362;Beschlag;;;x
Komponenten von Fenstern und Vorhangfassaden / Dichtungskomponenten / -materialien / Dichtprofile;334, 344, 362;Dichtung;;;o
Komponenten von Fenstern und Vorhangfassaden / Dichtungskomponenten / -materialien / Elastomer-Fugenbänder;334, 344, 362;Dichtung;;;o
Komponenten von Fenstern und Vorhangfassaden / Dichtungskomponenten / -materialien / Fugendichtungsbänder;334, 344, 362;Dichtung;;;o
Komponenten von Fenstern und Vorhangfassaden / Füllungen / Opake Füllungen;334, 344, 362;Platten;;;x
Komponenten von Fenstern und Vorhangfassaden / Füllungen / Transparente Füllungen;334, 344, 362;transparent;;;x
Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;334, 344, 362;Rahmen;;;x
Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium thermisch getrennt;334, 344, 362;Rahmen;;;x
Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Holz;334, 344, 362;Rahmen;;;x
Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / PVC;334, 344, 362;Rahmen;;;x
Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Stahl;334, 344, 362;Rahmen;;;x
Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Aluminium;334, 344;Tür;;;x
Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;334, 344;Tür;;;x
Komposite / Systembauteile / Decken;324, 351, 353;komplett;;eigentlich Boden- und Deckensysteme;
Komposite / Systembauteile / Innenwände;345;;;nähere Eingrenzung in den Datensätzen;
Kunststoffe / Bodenbeläge / Gummi-/Kautschuk-Bodenbeläge;324,353;Bodenbelag;;;x
Kunststoffe / Bodenbeläge / Linoleum-Bodenbeläge;324,353;Bodenbelag;;;x
Kunststoffe / Bodenbeläge / PVC-Bodenbeläge;324,353;Bodenbelag;;;x
Kunststoffe / Bodenbeläge / Textile Bodenbeläge;324,353;Bodenbelag;;;x
