Kategorie;KG;LayerType;Bauweise;noch unsicher;verwendbar für frühe Planungsphasen;Anmerkungen / zusätzliche Eingrenzung
Komponenten von Fenstern und Vorhangfassaden / Beschläge / Aluminiumbeschläge;334, 344, 362;hardware;Holz, Hybrid, MW, StB, Stahl; ;o;
Komponenten von Fenstern und Vorhangfassaden / Beschläge / Befestigungen;334, 344, 362;(attachment screws);Holz, Hybrid, MW, StB, Stahl;x;o;nur für Abschätzungen von Befestigungen nützlich (funktionelle Einheit: kg)
Komponenten von Fenstern und Vorhangfassaden / Beschläge / Fenstergriffe;334, 344, 362;handle;Holz, Hybrid, MW, StB, Stahl; ;o;
Komponenten von Fenstern und Vorhangfassaden / Beschläge / Stahlbeschläge;334, 344, 362;hardware;Holz, Hybrid, MW, StB, Stahl; ;o;
Komponenten von Fenstern und Vorhangfassaden / Dichtungskomponenten / -materialien / Dichtprofile;334, 344, 362;Dichtung;;;o;
Komponenten von Fenstern und Vorhangfassaden / Dichtungskomponenten / -materialien / Elastomer-Fugenbänder;334, 344, 362;Dichtung;;;o;
Komponenten von Fenstern und Vorhangfassaden / Dichtungskomponenten / -materialien / Fugendichtungsbänder;334, 344, 362;Dichtung;;;o;
Komponenten von Fenstern und Vorhangfassaden / Füllungen / Opake Füllungen;334, 338, 344, 362;(boards, shutter, light strip, skylight);Holz, Hybrid, MW, StB, Stahl;x;x;nähere Eingrenzung in den Datensätzen
Komponenten von Fenstern und Vorhangfassaden / Füllungen / Transparente Füllungen;334, 344, 362;;Holz, Hybrid, MW, StB, Stahl;x;x;Unterscheidung zwischen single, double und triple glazing
Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;334, 344, 362;(frame, complete curtain wall);Holz, Hybrid, MW, StB, Stahl;x;x;nähere Eingrenzung in den Datensätzen
Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium thermisch getrennt;334, 344, 362;(frame, complete curtain wall);Holz, Hybrid, MW, StB, Stahl;x;x;nähere Eingrenzung in den Datensätzen
Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Holz;334, 344, 362;frame;Holz, Hybrid, MW, StB, Stahl; ;x;
Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / PVC;334, 344, 362;frame;Holz, Hybrid, MW, StB, Stahl; ;x;
Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Stahl;334, 344, 362;(frame, complete curtain wall);Holz, Hybrid, MW, StB, Stahl;x;x;nähere Eingrenzung in den Datensätzen
Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Aluminium;334, 344;door;Holz, Hybrid, MW, StB, Stahl; ;x;
Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;334, 344;door;Holz, Hybrid, MW, StB, Stahl; ;x;
Komposite / Systembauteile / Aussenwände;;;;x;?;neu in Oekobaudat 2021_I
Komposite / Systembauteile / Decken;324, 353, 354, 364;(complete floor, complete ceiling);Holz, Hybrid, MW, StB, Stahl;x;x;nähere Eingrenzung in den Datensätzen: Boden, Decke
Komposite / Systembauteile / Innenwände;340, 345;(boards, complete interior wall);Holz, Hybrid, MW, StB, Stahl;x;x;nähere Eingrenzung in den Datensätzen
Kunststoffe / Bodenbeläge / Gummi-/Kautschuk-Bodenbeläge;324,353;flooring;Holz, Hybrid, MW, StB, Stahl; ;x;
Kunststoffe / Bodenbeläge / Linoleum-Bodenbeläge;324,353;flooring;Holz, Hybrid, MW, StB, Stahl; ;x;
Kunststoffe / Bodenbeläge / PVC-Bodenbeläge;324,353;flooring;Holz, Hybrid, MW, StB, Stahl; ;x;
Kunststoffe / Bodenbeläge / Textile Bodenbeläge;324,353;flooring;Holz, Hybrid, MW, StB, Stahl; ;x;
Kunststoffe / Bodenbeläge / Synth. Thermoplast / Polyolefin;;;;x;?;neu in Oekobaudat 2021_I
Kunststoffe / Dachbahnen / Bitumen-Dachbahnen;324, 335A, 363;waterproofing;Holz, Hybrid, MW, StB, Stahl; ;x;
Kunststoffe / Dachbahnen / ECB-Dachbahnen (Ethylen-Copolymer-Bitumen);363;waterproofing;Holz, Hybrid, MW, StB, Stahl; ;x;
Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;363;waterproofing;Holz, Hybrid, MW, StB, Stahl; ;x;
Kunststoffe / Dachbahnen / EVA-Dachbahnen (Etylen-Vinylacetat);363;waterproofing;Holz, Hybrid, MW, StB, Stahl; ;x;
Kunststoffe / Dachbahnen / PIB-Dachbahnen (Polyisobutylen);363;waterproofing;Holz, Hybrid, MW, StB, Stahl; ;x;
Kunststoffe / Dachbahnen / PVC-Dachbahnen;363;waterproofing;Holz, Hybrid, MW, StB, Stahl; ;x;
Kunststoffe / Dichtmassen / Acrylat;;Dichtung;;;o;
Kunststoffe / Dichtmassen / Bitumen;;Dichtung;;;o;
