UUID;Version;Name;Kategorie;Konformität;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg; A1-A3 existing; C3 existing; C4 existing; D existing
beda0ad4-6258-4842-bd0a-76684e9da77c;00.04.000;TecTem Insulation Board Indoor Laibungsplatte;Dämmstoffe / Blähperlit / Platten;DIN EN 15804 / ISO 14025;specific dataset;1;m3;ae0c7c2d-52e5-963c-f96c-2aef339912db;1 m³ von TecTem® Insulation Board Indoor Laibungsplatte;;;138,7;;;;0,00721;true;false;false;false
011c9d4d-f9df-4ff0-87f0-58faf814a239;00.01.001;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 36,5/10,5 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;CEN TC Produkt Norm EN 16757:2016-07-01 / CML-Methode: CML-IA, Fassung 4.1, vom Oktober 2012, CML-Institute of Environmental Sciences, Faculty of Science, Universität Leiden, Niederlande / EN 15804;specific dataset;1;m3;28ae056f-0e22-4df3-bee4-348520d1619d;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 36,5/10,5 ohne Füllbeton;;69,8;191;;;;;true;false;true;false
a4fb9ec0-d5ae-414b-a0a1-2cf7f586022d;20.19.010;Betonfertigteil Decke 40cm;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;DIN EN 15804;generic dataset;1;m3;ac1afa6b-1c8e-4ff5-93a8-207ba34a840c;Betonfertigteil Decke 40cm (m2);;1008;;0,4;;;;true;false;false;false
3470c523-ffcd-48df-93ff-dedfde86572a;20.19.010;Betonfertigteil Wand 40cm;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;DIN EN 15804;generic dataset;1;m3;d55205ca-ac34-4497-bea5-6ce1a04e4926;Betonfertigteil Wand 40cm (m2);;971;;0,4;;;;true;false;false;false
b3cff98b-5067-4e82-a76f-b2ce058665d0;00.01.000;TensoSky®-System with Fluon® ETFE-FILM;Kunststoffe / Folien und Vliese / Technische Textilien;DIN EN 15804 / ISO 14025;average dataset;1;m3;fd06dc48-9622-7344-e76b-e02fdae613e0;Taiyo ETFE construction element TensoSky / 1 m²;;3,93;1750;0,35;;;;true;true;false;true
f281ecaf-5754-4d27-8d70-cfd18780b192;20.19.120;Folie aus Polytetrafluorethylen (PTFE);Kunststoffe / Folien und Vliese / Technische Textilien;DIN EN 15804;generic dataset;1;m3;40f28adb-432c-4ec9-898f-637aaee1d658;Polytetrafluoroethylen folie (PTFE);;;2200;;;;;true;true;false;true
d7073560-4c4b-4cb0-b6bf-a902950c5109;20.19.120;Schnittholz Zeder (12% Feuchte/10.7% H2O);Holz / Vollholz / Bau-Schnittholz;DIN EN 15804;generic dataset;1;m3;6f1ca9db-d16f-4337-bdaf-023776e5bec5;Timber cedar (12% moisture, 10.7% H2O content) (m3);;;571;;;;;true;true;false;true
d3b59cac-3b4e-4d18-8c3a-780b553c9591;20.19.120;Porenbeton P4 05 bewehrt;Mineralische Baustoffe / Steine und Elemente / Porenbeton;DIN EN 15804;generic dataset;1;m3;b221661b-2af1-407f-9d0b-f1d964ec3487;Porenbeton P4 05 bewehrt (m3);;;500;;;;;true;true;false;true
b342696e-2ebb-4fe1-a71d-f3520db0cee9;20.19.120;Betonfertigteil Wand 12cm;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;DIN EN 15804;generic dataset;1;m3;d0a62493-e1c4-4ee1-b605-9e3d128b30cc;Betonfertigteil Wand 12cm (m2);;291,3;;0,12;;;;true;true;false;true
78b7cd15-d82a-4ffa-ae08-870b6e5d35d4;20.19.120;Fliesenkleber;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;DIN EN 15804;generic dataset;1;m3;31386a3f-6622-419c-96b9-291b29acd29e;Mörtel;;;1500;;;;;true;false;true;true
65af52ac-382b-4069-aafe-b044b3960356;20.19.120;Polyethylen-Schaum;Dämmstoffe / Polyethylen / Schaum;DIN EN 15804;generic dataset;1;m3;ad9ed9e4-5a27-4622-b5ea-076a89c857cc;Polyethylen-Schaum;;;30;;;;;true;true;false;true
55a89d7b-b585-404f-be34-bb7285730a89;20.19.120;Armierung (Kunstharzspachtel);Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;DIN EN 15804;generic dataset;1;m3;e1aa85fe-c4aa-47f2-a63c-2e70f97a4454;Armierungsmörtel;;;1550;;;;;true;true;true;false
43c3fd78-c67e-438b-b726-dd512df5d881;20.19.120;Kleber für Gipsplatten;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;DIN EN 15804;generic dataset;1;m3;47df2f44-df61-4dc4-b4e5-26641d40728b;Gipsplatten-Kleber;;;1000;;;;;true;false;true;false
41ecf1e2-3edd-41ab-8616-68a856c815a5;20.19.120;Befestigungsmittel/Schrauben Edelstahl;Komponenten von Fenstern und Vorhangfassaden / Beschläge / Befestigungen;DIN EN 15804;generic dataset;1;m3;78873b0d-2f8e-4c96-9804-a0c564685302;Stahl Bauteil;;;7850;;;;;true;false;false;true
3a99d696-4911-45da-9f80-647ce214bca0;20.19.120;Voranstrich (Kunstharz);Mineralische Baustoffe / Mörtel und Beton / Putz und Putzmörtel;DIN EN 15804;generic dataset;1;m3;7a8a1d4b-8676-4ba2-a7fa-e82d3b9b9feb;Putz (Siliconharz);;;1550;;;;;true;false;true;false
9498de37-a640-4715-aaeb-07fe2631dad4;00.01.009;Floatglas - Guardian Europe S.à r.l. - Wet coating for painted glass;Komponenten von Fenstern und Vorhangfassaden / Füllungen / Opake Füllungen;EN 15804;specific dataset;1;m3;dfdc6da3-56d8-45f5-a72d-400fc2a0c303;Floatglas - Guardian Europe S.à r.l. - Wet coating for painted glass;;;;0,000045;;;;true;false;false;false
57fed1c6-f30d-4e78-9fb6-b93810b6e825;00.02.000;Nadelschnittholz - frisch (Durchschnitt DE);Holz / Vollholz / Bau-Schnittholz;EN 15804;representative dataset;1;m3;ae26ee9e-f46b-408b-ba2a-ed31e7736077;Nadelschnittholz - frisch (Durchschnitt DE);;;674,74;;;;;true;true;false;true
afef8f9a-e598-41b8-8e90-33e7352c25a8;00.01.000;CLIMAFLEX® SPIRAL made of NMC NATUREFOAM®;Dämmstoffe / Polyethylen / Schaum;DIN EN 15804 / ISO 14025;average dataset;1;m3;588bc1e0-9d15-48dc-03c0-2814249458c4;CLIMAFLEX®SPIRAL made of NMC NATUREFOAM®;;;30;;;;;true;false;true;false
ab6a665e-1846-4ef0-88a8-8f4b2924f56a;00.02.000;CLIMAFLEX® aus NMC NATUREFOAM®;Dämmstoffe / Polyethylen / Schaum;DIN EN 15804 / ISO 14025;average dataset;1;m3;c70cf5d7-28f9-3673-c385-4f88a144831f;CLIMAFLEX® /M3;;;28;;;;;true;false;true;false
bc68f981-990f-4388-9b10-4868db56c7f5;00.01.000;HENSOTHERM® 410 KS / 420 KS / 421 KS / 461 KS / 471 KS und RENITHERM® PMA 600 HD / 1200 HD;Beschichtungen / Brandschutz / Innen- und Außenbeschichtungen;DIN EN 15804 / ISO 14025;average dataset;1;m3;854b5ab4-c95a-9774-787d-6015e52e4faa;HENSOTHERM® 410 KS / 420 KS / 421 KS / 461 KS / 471 KS und RENITHERM® PMA 600 HD / 1200 HD [1 kg];;;1400;;;;;true;false;false;false
f5eb6730-728e-49c8-82d4-8d764786b3ae;00.02.000;voestalpine Schienen;Metalle / Stahl und Eisen / Stahlprofile;DIN EN 15804 / ISO 14025;average dataset;1;m3;ca7cc2af-fb11-8b18-4257-a50df4d6746d;voestalpine Schiene;;;7874;;;;;true;true;true;true
02428321-77d1-426f-a1d1-48a83de490c0;00.02.000;Putzmörtel-Normalputz/Edelputz;Mineralische Baustoffe / Mörtel und Beton / Putz und Putzmörtel;DIN EN 15804 / ISO 14025;average dataset;1;m3;23f06494-b60b-5df2-b09a-75b42b2993ce;1 kg Putzmörtel-Normalputz/Edelputz;;;1800;;;;;true;false;true;true
d154c187-5117-46e1-9b78-a3a9a39a3abf;00.02.000;Putzmörtel-Normalputz/Edelputz mit besonderen Eigenschaften;Mineralische Baustoffe / Mörtel und Beton / Putz und Putzmörtel;DIN EN 15804 / ISO 14025;average dataset;1;m3;f21764bd-81d5-8e56-86ed-9c9b6a0602bb;1 kg Putzmörtel-Normalputz / Edelputz mit besonderen Eigenschaften;;;1800;;;;;true;false;true;true
da57ac9b-96ef-4509-b855-222c821f971f;00.02.000;Putzmörtel-Leichtputz;Mineralische Baustoffe / Mörtel und Beton / Putz und Putzmörtel;DIN EN 15804 / ISO 14025;average dataset;1;m3;0de682ed-76b1-3671-e0b5-b94f05d8a127;1 kg Putzmörtel-Leichtputz;;;1300;;;;;true;false;true;true
94484394-df6b-4953-8d25-4774caa4ad14;00.02.000;Putzmörtel-Armierungsputz;Mineralische Baustoffe / Mörtel und Beton / Putz und Putzmörtel;DIN EN 15804 / ISO 14025;average dataset;1;m3;8343709e-ad47-0a6b-3485-e204b89a0a3a;1 kg Putzmörtel-Armierungsputz;;;1600;;;;;true;false;true;true
42bbe9d3-94ba-44c1-b289-a90ce8d5bd1e;00.02.000;Putzmörtel-Wärmedämmputz;Mineralische Baustoffe / Mörtel und Beton / Putz und Putzmörtel;DIN EN 15804 / ISO 14025;average dataset;1;m3;05d1c310-1ce6-3bdc-f55f-a8879076a646;1 kg Putzmörtel-Wärmedämmputz;;;600;;;;;true;false;true;true
6573bb61-f0d1-4ecf-8f83-20cdec37de57;00.02.000;TECU Gold;Metalle / Kupfer / Kupferbleche;DIN EN 15804 / ISO 14025;specific dataset;1;m3;f32ff24e-27a8-ac3a-4bc6-32eedeb2240f;TECU Gold Kupferlegierung;;;8180;;;;;true;true;false;true
e51ce180-a6c6-4f36-aa9c-0f0f496e9086;00.02.000;CALOSTAT®;Dämmstoffe / Siliziumdioxid-basiert / Hydrophobe Platten;DIN EN 15804 / ISO 14025;specific dataset;1;m3;59b99cd6-5058-19cc-c9a5-0def263dee36;1 m³;;;33;;;;0,03;true;true;true;true
c6a2ad67-642e-498a-9258-8625953bbfde;00.05.000;AQUAPANEL® Cement Board Indoor;Komposite / Systembauteile / Innenwände;DIN EN 15804 / ISO 14025;specific dataset;1;m3;52d8359c-3219-fcc2-5eea-b267f825462f;AQUAPANEL® Cement Board Indoor;;11;750;0,0125;;;;true;false;false;false
e83be2ef-a87f-4f72-a533-69f51872fb40;00.07.000;AQUAPANEL® Cement Board Outdoor;Komposite / Systembauteile / Aussenwände;DIN EN 15804 / ISO 14025;specific dataset;1;m3;8eb6029c-bad8-d458-020a-956bb0e95aac;AQUAPANEL® Cement Board Outdoor;;16;1150;0,0125;;;;true;false;false;false
1291e61e-ab0c-4a51-9476-4c056a9d44ec;00.02.000;Kooltherm K5;Dämmstoffe / Phenolharz-Hartschaum (PF) / PF-Platten;DIN EN 15804 / ISO 14025;average dataset;1;m3;88399390-c8f9-38d7-2ac9-75fe006de712;1 m², 100mm Dicke Additional Info from Xml: Phenolharzschaum wird unter Verwendung von Phenolharz, einem Katalysator, Zusatzstoffen und einem Treibmittel hergestellt. Die Zellstruktur im Harz entsteht durch die Hitze der chemischen Reaktion. Dazu wird das Treibmittel dem Material zugegeben, das eine feste und sehr feine Zellstruktur formt, die zu nahezu 100 % geschlossen ist. Der Schaum wird auf die Glasfaserschicht aufgetragen. Danach werden die Dicke und die Festigkeit durch das Fließband bestimmt, wo obere und untere Walzen das Material auf die gewünschte Dicke komprimieren. Die Platte wird auf die richtige Größe zugesägt und gemäß der Produktspezifikationen verpackt. Deklarierte Einheit: Die deklarierte Einheit (1 m²) und die Umrechnungsfaktoren sind in der folgenden Tabelle aufgelistet.;;3,5;35;0,1;;;;true;true;false;true
4265ef01-543e-439e-be5d-f9895dc07528;00.02.000;MAXI-TEC® CW- und UW-Profile;Metalle / Edelstahl / Edelstahlprofile;DIN EN 15804 / ISO 14025;average dataset;1;m3;a981a3df-5942-0256-a7cd-66f2565b701f;1 lfm MAXI-TEC®;;;0,706;;;0,706;;true;false;true;true
89ea46fe-ab76-4857-8b91-d04241b2194e;00.00.018;Hobelware (Durchschnitt DE);Holz / Vollholz / Bau-Schnittholz;EN 15804;representative dataset;1;m3;04a151ab-7fdc-4dbc-aa8f-7add114789fa;Hobelware (Durchschnitt DE);;;485,31;;;;;true;true;false;true
596f1878-75cf-4cd4-a510-003a67094dd7;00.00.024;Laubschnittholz - getrocknet (Durchschnitt DE);Holz / Vollholz / Bau-Schnittholz;EN 15804;representative dataset;1;m3;f6149104-4f3a-465d-95b2-f806579210a3;Laubschnittholz - getrocknet (Durchschnitt DE);;;761,6;;;;;true;true;false;true
fc19c2a9-d163-4aee-b9d1-7fbaf7eb02e3;00.00.029;Nadelschnittholz - frisch (Durchschnitt DE);Holz / Vollholz / Bau-Schnittholz;EN 15804;representative dataset;1;m3;ae26ee9e-f46b-408b-ba2a-ed31e7736077;Nadelschnittholz - frisch (Durchschnitt DE);;;674,74;;;;;true;true;false;true
07a5482a-fa4a-484d-8929-b6f6dfd6be3e;00.00.026;Nadelschnittholz - getrocknet (Durchschnitt DE);Holz / Vollholz / Bau-Schnittholz;EN 15804;representative dataset;1;m3;e705b3e6-f258-4f52-9d8a-31a94aa89ba6;Nadelschnittholz - kammergetrocknet (Durchschnitt DE);;;484,51;;;;;true;true;false;true
1ab8998f-16ee-4556-b3a9-82d6017f8cfc;00.00.019;Röhrenspanplatte (Durchschnitt DE);Holz / Holzwerkstoffe / Spanplatten;EN 15804;representative dataset;1;m3;6360d51c-ffbe-4bc0-bc7f-e75384845591;Röhrenspanplatte;;;272;;;;;true;true;false;true
