UUID;Name;Kategorie;Technological Applicability ;Applications
127e1dd6-110d-4356-83bf-e39c4b27ff2b;Brillux Silikat-Innenfarbe ELF 1806;Beschichtungen / Innenbeschichtungen / Innenfarben;;
ba66960b-8890-4204-9df3-4ddb48416316;Brillux Super Latex ELF 3000;Beschichtungen / Innenbeschichtungen / Innenfarben;;
825fc872-5d02-40f2-a68b-fe71f11a817d;Calciumsulfat-Fließestrich und Konventioneller Calciumsulfatestrich;Mineralische Baustoffe / Bindemittel / Gips;;
46f9017f-0c05-4c2c-90de-d23bbc3d3e5a;CapaSilan;Beschichtungen / Innenbeschichtungen / Innenfarben;;
13a77bf0-9a05-47fe-8531-ca91d3764ec5;CapaTrend;Beschichtungen / Innenbeschichtungen / Innenfarben;;
1b842259-9cfe-4e41-80b3-df0a11382984;Dachsteine;Mineralische Baustoffe / Steine und Elemente / Dachziegel;;
ba0e47ef-b04a-4bbb-bc9d-dafc7b72edc2;Dachziegel Neufahrn;Mineralische Baustoffe / Steine und Elemente / Dachziegel;;
d2e01b0a-bfdf-412a-996e-20d592df0d5f;Durchschnittlicher Zement D;Mineralische Baustoffe / Bindemittel / Zement;;
573cebb5-2963-460f-8d61-0e3eecc1176e;Estrichelemente;Mineralische Baustoffe / Mörtel und Beton / Estrich trocken;;
8ac8faaf-ca43-4d5c-80e6-2e45fb456d23;Eurolight beschichtet;Holz / Holzwerkstoffe / Spanplatten;;
acc44187-3de9-462d-b332-4b1806e5897c;Eurolight roh;Holz / Holzwerkstoffe / Spanplatten;;
d6eaa532-5b85-449b-9fbf-1357a52c4bd9;EVALON®dual, mechanisch befestigt oder lose unter Auflast;Kunststoffe / Dachbahnen / EVA-Dachbahnen (Etylen-Vinylacetat);;
d9a1408e-b6bf-4fac-9b94-d89b580cc131;Fortrac® MPT;Kunststoffe / Folien und Vliese / Technische Textilien;;
de0c1710-057b-46ff-b6da-9fb26c113fa3;FW 50 BF.HI;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;;
a287ee57-814f-4a5d-bccd-64b207385f47;FWS 50 SI;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;;
ce6e1839-54f9-42cd-ad20-940281e445dc;Getuftete Teppichfliesen LC1, Polmaterial PA 6, Schwerbeschichtung auf Bitumenbasis;Kunststoffe / Bodenbeläge / Textile Bodenbeläge;;
de085c04-d8be-436c-b602-b476bca15e4c;Getuftete Teppichfliesen LC2, Polmaterial PA 6, Schwerbeschichtung auf Bitumenbasis;Kunststoffe / Bodenbeläge / Textile Bodenbeläge;;
ee052374-fec0-4707-bfe0-863520d80b48;Getuftete Teppichfliesen LC3, Polmaterial PA 6, Schwerbeschichtung auf Bitumenbasis;Kunststoffe / Bodenbeläge / Textile Bodenbeläge;;
5693c3a3-78ad-43be-bf5c-1d5486f24af3;Getuftete Teppichfliesen LC4, Polmaterial PA 6, Schwerbeschichtung auf Bitumenbasis;Kunststoffe / Bodenbeläge / Textile Bodenbeläge;;
ea1e97c0-5232-43cf-b56a-adde6e3e5916;Getuftete Teppichfliesen LC5, Polmaterial PA 6, Schwerbeschichtung auf Bitumenbasis;Kunststoffe / Bodenbeläge / Textile Bodenbeläge;;
eec9c184-852b-47e5-b380-7ae5af203b65;Dachziegel;Mineralische Baustoffe / Steine und Elemente / Dachziegel;;
18e5028c-9327-4429-92da-eb90ee5d05cc;Glasarmierungsgitter;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;;
