UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Modul;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET
54611e43-ebcd-41a4-a16c-356e8780e3c9;00.01.001;Tensar TriAX TX 190L-GN Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;specific dataset;1;null;3be03e0c-368d-43bf-934b-2589085a224c;Tensar TriAX TX 190L-GN Geogitter;;0,628;;0,01;;;;A1-A3;1,38;8,4E-11;0,000471;0,00328;0,00032;3,2E-07;40,3;1,36;0;1,36;20,4;22,2;42,6;0;0;0;0,00555;5,58E-06;1,68;0,000905;0;0;0;0;0
63bb567f-e2c7-46c7-947f-edf620f1064f;00.01.001;Tensar TriAX TX 5 Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;specific dataset;1;null;95a159c4-efb9-401f-80a5-ddb297f95710;Tensar TriAX TX 5 Geogitter;;0,189;;0,01;;;;A1-A3;0,512;3,91E-11;0,000178;0,0013;0,000127;1,01E-07;15,2;0,402;0;0,402;8,13;7,87;16;0;0;0;0,00201;1,83E-06;0,484;0,000332;0;0;0;0;0
ffd9a444-d0cb-47a2-bc25-32c19c85979b;00.01.001;Tensar TriAX TX 7 Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;specific dataset;1;null;95a159c4-efb9-401f-80a5-ddb297f95710;Tensar TriAX TX 5 Geogitter;;0,189;;0,01;;;;A1-A3;0,73;5,65E-11;0,000257;0,00188;0,000182;1,46E-07;21,7;0,584;0;0,584;11,2;11,7;22,9;0;0;0;0,00292;2,62E-06;0,705;0,000482;0;0;0;0;0
d9fd76f0-190d-437d-bb07-549963b32d65;00.02.000;Beton der Druckfestigkeitsklasse C 20/25;Mineralische Baustoffe / Mörtel und Beton / Beton;average dataset;1;m3;50452ecf-44b6-a7a2-e8e2-5f175e524664;1 m³ Konstruktionsbeton C 20/25;;;2400;;;;0,000412;A1-A3;178;4,79E-08;0,0205;0,261;0,0498;0,000608;819;180;0;180;912;0;912;23;164;311;0,76;0,00025;40,1;0,037;0;0;0;0;0
2b2d1f3f-ab92-449d-8a2e-cd7e85818406;00.02.000;Beton der Druckfestigkeitsklasse C 50/60;Mineralische Baustoffe / Mörtel und Beton / Beton;average dataset;1;m3;4d4c8c94-6f01-6099-ee6c-a39d72ed9785;1 m³ Konstruktionsbeton C 50/60;;;2400;;;;0,000412;A1-A3;300;8,4E-08;0,0379;0,422;0,0837;0,00107;1360;292;0;292;1510;0;1510;11;287;546;0,88;0,000335;50,6;0,06;0;0;0;0;0
b6096c9c-1248-4ce1-9c2d-f4a48aade80f;00.02.000;Beton der Druckfestigkeitsklasse C 30/37;Mineralische Baustoffe / Mörtel und Beton / Beton;average dataset;1;m3;2c23fb13-3d5f-b822-4c28-42c0faab3194;1 m³ Konstruktionsbeton C 30/37;;;2400;;;;0,000412;A1-A3;219;5,97E-08;0,0258;0,317;0,0591;0,000711;997;204;0;204;1100;0;1100;23;204;388;0,93;0,000375;39;0,042;0;0;0;0;0
a3662e98-9dc9-412f-9603-47f653f3db7f;00.03.000;Beton der Druckfestigkeitsklasse C 45/55;Mineralische Baustoffe / Mörtel und Beton / Beton;average dataset;1;m3;f337437f-0074-8b0a-edd5-7c15c5baec54;1 m³ Konstruktionsbeton C 45/55;;;2400;;;;0,000412;A1-A3;286;7,72E-08;0,0351;0,406;0,081;0,00102;1360;282;0;282;1500;0;1500;11;264;502;0,88;0,000389;50,2;0,058;0;0;0;0;0
cbc63bd5-2bfe-4381-b644-78df1bce86f3;00.03.000;Beton der Druckfestigkeitsklasse C 35/45;Mineralische Baustoffe / Mörtel und Beton / Beton;average dataset;1;m3;282639a2-c411-0c69-cb81-6d68c59ad83d;1 m³ Konstruktionsbeton C35/45;;;2400;;;;0,00412;A1-A3;244;6,81E-08;0,0298;0,348;0,0655;0,000822;1080;229;0;229;1200;0;1200;21;233;443;0,8;0,000336;41,8;0,047;0;0;0;0;0
71667cf3-ede8-42d2-b0ff-6f1071ad3b86;00.03.000;Beton der Druckfestigkeitsklasse C 25/30;Mineralische Baustoffe / Mörtel und Beton / Beton;average dataset;1;m3;d96cb520-4846-8cb6-ccec-f7065f30707a;1 m³ Konstruktionsbeton C 25/30;;;2400;;;;0,000412;A1-A3;197;5,36E-08;0,023;0,287;0,0535;0,000643;900;190;0;190;999;0;999;23;183;348;0,8;0,000313;38,3;0,039;0;0;0;0;0
a4fb9ec0-d5ae-414b-a0a1-2cf7f586022d;20.19.010;Betonfertigteil Decke 40cm;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;generic dataset;1;qm;ac1afa6b-1c8e-4ff5-93a8-207ba34a840c;Betonfertigteil Decke 40cm (m2);;1008;;;;;;A1-A3;169,399;1,54865E-12;0,0149361;0,242545;0,0429789;0,000175507;860,738;269,525;0;269,525;974,625;0;974,625;60,8025;0;0;0,386258;1,26067E-05;38,349;0,0450716;0;0;0;0;0
