UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Modul;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET
8ac8faaf-ca43-4d5c-80e6-2e45fb456d23;00.04.000;Eurolight beschichtet;Holz / Holzwerkstoffe / Spanplatten;specific dataset;1;qm;ae21ded8-3ae8-5cac-4445-700acd6daa0c;1 m² beschichtete Leichtbauplatte;;;254;;;;0,081;D;-12,2991;-5,82061E-09;0,0010204;-0,00756651;5,64761E-06;-1,40057E-06;-164,733;0;0;-29,3125;0;0;-217,097;0;187,623;30,7499;-0,0423975;-7,62263E-05;0,0247992;-0,0208592;0;0;0;0;0
acc44187-3de9-462d-b332-4b1806e5897c;00.04.000;Eurolight roh;Holz / Holzwerkstoffe / Spanplatten;specific dataset;1;qm;2fd5620b-a381-74b7-aa50-c6154e638f6f;1 m² rohe Eurolight-Platte;;;254;;;;0,083;A1-A3;-9,85284;2,34818E-10;0,00567848;0,0237353;0,00634697;6,67797E-06;144,323;45,4662;184,85;230,316;123,772;26,6672;150,439;0,326;0;0;0,032279;0,000162598;0,0491067;0,00242395;0;0;0;0;0
acc44187-3de9-462d-b332-4b1806e5897c;00.04.000;Eurolight roh;Holz / Holzwerkstoffe / Spanplatten;specific dataset;1;qm;2fd5620b-a381-74b7-aa50-c6154e638f6f;1 m² rohe Eurolight-Platte;;;254;;;;0,083;C3;19,6665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,4;0;0
acc44187-3de9-462d-b332-4b1806e5897c;00.04.000;Eurolight roh;Holz / Holzwerkstoffe / Spanplatten;specific dataset;1;qm;2fd5620b-a381-74b7-aa50-c6154e638f6f;1 m² rohe Eurolight-Platte;;;254;;;;0,083;D;-11,825;-5,67341E-09;0,000994593;-0,00737516;5,50478E-06;-1,36515E-06;-160,567;0;0;-28,5712;0;0;-211,607;0;184,85;26,6672;-0,0413253;-7,42987E-05;0,0241721;-0,0203317;0;0;0;0;0
d6eaa532-5b85-449b-9fbf-1357a52c4bd9;00.04.000;EVALON®dual, mechanisch befestigt oder lose unter Auflast;Kunststoffe / Dachbahnen / EVA-Dachbahnen (Etylen-Vinylacetat);specific dataset;1;qm;862fb05c-5f66-19cd-7f32-9d9c1d5f1a7b;1m² Dach- und Dichtungsbahn EVALON® dual;;1,9;1,333;;;;0,526;A1-A3;6,44;1,07E-09;0,00756;0,0186;0,00295;4,38E-05;138;18,1;0;18,1;96;53;149;0;0;0;0,0894;0,00183;0,513;0,00429;0;0;0;0;0
d6eaa532-5b85-449b-9fbf-1357a52c4bd9;00.04.000;EVALON®dual, mechanisch befestigt oder lose unter Auflast;Kunststoffe / Dachbahnen / EVA-Dachbahnen (Etylen-Vinylacetat);specific dataset;1;qm;862fb05c-5f66-19cd-7f32-9d9c1d5f1a7b;1m² Dach- und Dichtungsbahn EVALON® dual;;1,9;1,333;;;;0,526;A4;0,0311;6,46E-14;-2,27E-05;7,22E-05;1,8E-05;2,36E-09;0,424;0,0289;0;0,0289;0,426;0;0,426;0;0;0;4,37E-05;5,48E-08;5,26E-05;5,77E-07;0;0;0;0;0
d6eaa532-5b85-449b-9fbf-1357a52c4bd9;00.04.000;EVALON®dual, mechanisch befestigt oder lose unter Auflast;Kunststoffe / Dachbahnen / EVA-Dachbahnen (Etylen-Vinylacetat);specific dataset;1;qm;862fb05c-5f66-19cd-7f32-9d9c1d5f1a7b;1m² Dach- und Dichtungsbahn EVALON® dual;;1,9;1,333;;;;0,526;A5;0,483;5,44E-11;0,000671;0,000966;0,000153;2,19E-06;7,1;0,944;0;0,944;7,67;0;7,67;0;0;0;0,00487;9,16E-05;0,0263;0,000224;0;0;0;0,249;0,544
d6eaa532-5b85-449b-9fbf-1357a52c4bd9;00.04.000;EVALON®dual, mechanisch befestigt oder lose unter Auflast;Kunststoffe / Dachbahnen / EVA-Dachbahnen (Etylen-Vinylacetat);specific dataset;1;qm;862fb05c-5f66-19cd-7f32-9d9c1d5f1a7b;1m² Dach- und Dichtungsbahn EVALON® dual;;1,9;1,333;;;;0,526;C2;0,00452;9,39E-15;-3,3E-06;1,05E-05;2,62E-06;3,43E-10;0,0617;0,00421;0;0,00421;0,0619;0;0,0619;0;0;0;6,35E-06;7,97E-09;7,66E-06;8,39E-08;0;0;0;0;0
d6eaa532-5b85-449b-9fbf-1357a52c4bd9;00.04.000;EVALON®dual, mechanisch befestigt oder lose unter Auflast;Kunststoffe / Dachbahnen / EVA-Dachbahnen (Etylen-Vinylacetat);specific dataset;1;qm;862fb05c-5f66-19cd-7f32-9d9c1d5f1a7b;1m² Dach- und Dichtungsbahn EVALON® dual;;1,9;1,333;;;;0,526;C3;3,65;3,83E-12;4,51E-05;0,000851;7,09E-05;5,42E-07;1,44;0,329;0;0,329;1,63;0;1,63;0;0;0;0,00899;1,89E-08;0,369;7,7E-05;0;0;1,99;6,94;17
d6eaa532-5b85-449b-9fbf-1357a52c4bd9;00.04.000;EVALON®dual, mechanisch befestigt oder lose unter Auflast;Kunststoffe / Dachbahnen / EVA-Dachbahnen (Etylen-Vinylacetat);specific dataset;1;qm;862fb05c-5f66-19cd-7f32-9d9c1d5f1a7b;1m² Dach- und Dichtungsbahn EVALON® dual;;1,9;1,333;;;;0,526;D;-2,42;-7,24E-11;-0,000283;-0,00255;-0,000398;-5,93E-07;-31,7;-6,1;0;-6,1;-35,3;0;-35,3;0;0;0;-0,00458;-2,18E-08;-0,0162;-0,00147;0;0;0;0;0
d9a1408e-b6bf-4fac-9b94-d89b580cc131;00.04.000;Fortrac® MPT;Kunststoffe / Folien und Vliese / Technische Textilien;specific dataset;1;qm;3314f74b-238f-761f-540f-89a828df99b1;1 m2 geosynthetisches Gitter;;;;;;;2,75;A1-A3;1,37556;2,67092E-08;0,000688126;0,00455321;0,000553245;0,0053608;24,6145;1,57301;0;1,57301;23;6,07;29,1;0;0;0;0,00832632;4,28636E-06;1,71676;0,000686845;0;0;0;0;0
de0c1710-057b-46ff-b6da-9fb26c113fa3;00.02.000;FW 50 BF.HI;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;average dataset;1;null;6e1f831e-055c-b539-bee0-3dfae46ea64f;FW 50 BF.HI B x H: 3050 mm x 3050 mm;;;;;;;;A1-A3;2837,82;3,16E-05;0,859;13,84;1,52;0,0397;38710,9;9396,63;4,53;9401,16;41945,6;961,97;42907,5;46,14;0;0;14,49;6,06;289,45;1,72;0;0;0;0;0
de0c1710-057b-46ff-b6da-9fb26c113fa3;00.02.000;FW 50 BF.HI;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;average dataset;1;null;6e1f831e-055c-b539-bee0-3dfae46ea64f;FW 50 BF.HI B x H: 3050 mm x 3050 mm;;;;;;;;A4;0,553;2,54E-12;-0,000378;0,00135;0,000314;3,68E-08;7,61;0;0;0,433;0;0;7,64;0;0;0;0,00108;5,78E-07;0,000642;1,09E-05;0;0;0;0;0
