UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Modul; A1-A3 existing; C3 existing; C4 existing; D existing
ea6b23bb-6df2-4692-8999-4b81d0a1990c;00.03.000;Brillux Sensocryl ELF 267;Beschichtungen / Innenbeschichtungen / Innenfarben;specific dataset;1;null;33fbf59a-2726-b8b2-0d9c-91a83d60b34e;1 kg Brillux Sensocryl ELF 267;;;1350;;;;1;A1-A3;true;false;false;false
66dd0bed-23da-474c-abc0-96fa3c36004a;00.03.000;Brillux Sensocryl ELF 268;Beschichtungen / Innenbeschichtungen / Innenfarben;specific dataset;1;null;1acc30f4-8f97-003d-d3ea-9cc4024f500c;1 kg Brillux Sensocryl ELF 268;;;1300;;;;1;A1-A3;true;false;false;false
fecc54a7-c307-47a4-9821-6d12b69ebcd7;00.03.000;Brillux Sensocryl ELF 269;Beschichtungen / Innenbeschichtungen / Innenfarben;specific dataset;1;null;44112a9e-e2ac-3d33-c01f-fc2e8f5bba98;1 kg Brillux Sensocryl ELF 269;;;1300;;;;1;A1-A3;true;false;false;false
127e1dd6-110d-4356-83bf-e39c4b27ff2b;00.03.000;Brillux Silikat-Innenfarbe ELF 1806;Beschichtungen / Innenbeschichtungen / Innenfarben;representative dataset;1;null;e0615330-5d15-d5e3-cf3c-cf11ddf6e983;1 kg Brillux Silikat-Innenfarbe ELF 1806;;;1550;;;;1;A1-A3;true;false;false;false
ba66960b-8890-4204-9df3-4ddb48416316;00.03.000;Brillux Super Latex ELF 3000;Beschichtungen / Innenbeschichtungen / Innenfarben;representative dataset;1;null;e80923dd-9241-79a9-bce8-97dc054aec59;1 kg Brillux Super Latex ELF 3000;;;1400;;;;1;A1-A3;true;false;false;false
46f9017f-0c05-4c2c-90de-d23bbc3d3e5a;00.05.000;CapaSilan;Beschichtungen / Innenbeschichtungen / Innenfarben;average dataset;1;null;60269f59-b7cc-6032-8fe5-2a87f6694d48;1 kg Innenwandfarbe auf Dispersionsbasis Produkt: CapaSilan;;;1450;;;;;A1-A3;true;false;false;false
13a77bf0-9a05-47fe-8531-ca91d3764ec5;00.05.000;CapaTrend;Beschichtungen / Innenbeschichtungen / Innenfarben;average dataset;1;null;c98e43f4-8ece-1cb3-ae15-6cb5b195fecc;1 kg Innenwandfarbe auf Dispersionsbasis Produkt: CapaTrend;;;1400;;;;;A1-A3;true;false;false;false
1b842259-9cfe-4e41-80b3-df0a11382984;00.03.000;Dachsteine;Mineralische Baustoffe / Steine und Elemente / Dachziegel;average dataset;1000;null;ff8ac4ed-d498-b4ff-3e55-ea89a8ae4b72;1t Betondachsteine;;;2150;;;;0,001;A1-A3;true;false;false;false
ba0e47ef-b04a-4bbb-bc9d-dafc7b72edc2;00.04.000;Dachziegel Neufahrn;Mineralische Baustoffe / Steine und Elemente / Dachziegel;average dataset;1000;null;c0b0efd4-5da0-5228-5d9a-4d9c594a0dfb;Tondachziegel;;46;2020;;;;0,001;A1-A3;true;false;false;false
573cebb5-2963-460f-8d61-0e3eecc1176e;00.05.000;Estrichelemente;Mineralische Baustoffe / Mörtel und Beton / Estrich trocken;average dataset;1;null;405a6704-5bd0-9454-be69-816e8095a070;1 m2 fermacell Estrichelement;;;1180;;;;0,034;A1-A3;true;false;false;false
8ac8faaf-ca43-4d5c-80e6-2e45fb456d23;00.04.000;Eurolight beschichtet;Holz / Holzwerkstoffe / Spanplatten;specific dataset;1;null;ae21ded8-3ae8-5cac-4445-700acd6daa0c;1 m² beschichtete Leichtbauplatte;;;254;;;;0,081;A1-A3;true;true;false;true
acc44187-3de9-462d-b332-4b1806e5897c;00.04.000;Eurolight roh;Holz / Holzwerkstoffe / Spanplatten;specific dataset;1;null;2fd5620b-a381-74b7-aa50-c6154e638f6f;1 m² rohe Eurolight-Platte;;;254;;;;0,083;A1-A3;true;true;false;true
d6eaa532-5b85-449b-9fbf-1357a52c4bd9;00.04.000;EVALON®dual, mechanisch befestigt oder lose unter Auflast;Kunststoffe / Dachbahnen / EVA-Dachbahnen (Etylen-Vinylacetat);specific dataset;1;null;862fb05c-5f66-19cd-7f32-9d9c1d5f1a7b;1m² Dach- und Dichtungsbahn EVALON® dual;;1,9;1,333;;;;0,526;A1-A3;true;false;false;false
d9a1408e-b6bf-4fac-9b94-d89b580cc131;00.04.000;Fortrac® MPT;Kunststoffe / Folien und Vliese / Technische Textilien;specific dataset;1;null;3314f74b-238f-761f-540f-89a828df99b1;1 m2 geosynthetisches Gitter;;;;;;;2,75;A1-A3;true;false;false;false
de0c1710-057b-46ff-b6da-9fb26c113fa3;00.02.000;FW 50 BF.HI;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;average dataset;1;null;6e1f831e-055c-b539-bee0-3dfae46ea64f;FW 50 BF.HI B x H: 3050 mm x 3050 mm;;;;;;;;A1-A3;true;false;true;false
a287ee57-814f-4a5d-bccd-64b207385f47;00.02.000;FWS 50 SI;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;average dataset;1;null;8bf9ba51-c280-d540-f69a-b71b08bdbc64;Schüco FWS 50 B x H: 3050 mm x 3050 mm;;;;;;;;A1-A3;true;false;true;false
ce6e1839-54f9-42cd-ad20-940281e445dc;00.03.000;Getuftete Teppichfliesen LC1, Polmaterial PA 6, Schwerbeschichtung auf Bitumenbasis;Kunststoffe / Bodenbeläge / Textile Bodenbeläge;average dataset;1;null;49439649-bfe8-f626-3851-630fb5f5cf2a;1 m² Bodenbelag;;;;;;;;A1-A3;true;false;false;false
de085c04-d8be-436c-b602-b476bca15e4c;00.03.000;Getuftete Teppichfliesen LC2, Polmaterial PA 6, Schwerbeschichtung auf Bitumenbasis;Kunststoffe / Bodenbeläge / Textile Bodenbeläge;average dataset;1;null;039cc6dc-74f9-d649-c71c-2636c86590b0;1 m² Bodenbelag;;;;;;;;A1-A3;true;false;false;false
